Port_IDs,ROI,realizedProfit,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Score
4016164457907769600,0.0014752551269414148,3742.6873197200002,,-647.83756662,0.4353932584269663,310,712,
4017110277719148289,0.005908790288851552,2899.93302141,,0.0,0.5674603174603174,143,252,
4017323550554338817,0.013126852867872714,3134.7351025,,0.0,0.5009174311926605,273,545,
4019895412775450368,0.008588740814958487,2640.30025492,,0.0,0.4238178633975482,242,571,
4021669203289716224,0.0006354295774979298,26427.33159178,,-2537.8666286100015,0.31391200951248516,528,1682,
4022565861939831809,0.0033457133157999757,14197.57707589,,-385.07555369000147,0.5276595744680851,372,705,
4022641794255717633,0.018807557538389343,2176.83382376,,-115.99559388,0.43522802379378717,2634,6052,
4023616625178799873,0.006929393257083946,2087.77119301,,-3.088799999999992,0.40991535671100365,339,827,
4023697433751327232,0.006275746773609271,2408.22399998,,0.0,0.09523809523809523,4,42,
4023697881318718465,0.005825303259242518,3151.95061998,,0.0,0.08571428571428572,6,70,
4026179081117855488,0.0011527727011967474,6796.18836,,-1824.6434998900004,0.233502538071066,46,197,
4027747397961573889,0.0016236773665793767,2638.21944996,,-483.9062899800001,0.45,207,460,
4028427053699127040,0.0023939545146345097,2633.02381341,,-6.623939780000001,0.2975206611570248,36,121,
4028701921959171840,0.00449583195282342,17601.40139824,,-585.6775999299998,0.5429403202328966,373,687,
4029299190618134272,0.004367020610715767,3354.14587637,,-0.537880370000039,0.3130434782608696,72,230,
4029422834086627072,0.015072335238820747,2799.90254984,,0.0,0.37254901960784315,38,102,
4029506971304830209,0.003612768711352722,2413.6540000200002,,-1.2715041199999177,0.057692307692307696,3,52,
4029507714735307777,0.0025950548029880604,1537.89995998,,0.0,0.03773584905660377,2,53,
4029749871687083265,0.023726807587546733,3662.13654822,,0.0,0.4287383177570093,367,856,
4030392204221219329,0.007595184323263286,1347.75800996,,0.0,0.09411764705882353,8,85,
4030395639953224449,0.0017802374074764908,4413.76154738,,-57.6099997299998,0.17479674796747968,86,492,
4030555430101054209,0.004407928042217778,3358.38032001,,0.0,0.2644628099173554,32,121,
4030565764341697025,0.008566356132150272,2789.87828996,,-4.030795650000073,0.4857142857142857,51,105,
4030626027667524352,0.003847838302595741,3796.34803991,,-670.806,0.4978540772532189,116,233,
4030635536196756737,0.0011178647431547408,2581.61417484,,-47.18678624999984,0.5247295208655333,679,1294,
4030708912786799105,0.0022045840630669842,1612.84376999,,0.0,0.03333333333333333,2,60,
4031173908980084736,0.004265557952975263,5360.42572991,,-80.89999999999998,0.37777777777777777,85,225,
4031181049693676544,0.0020859611630125396,4545.2423384,,-22.344964959999743,0.24172185430463577,73,302,
4031408429897920512,0.0038963370975979897,1351.26659997,,0.0,0.04878048780487805,4,82,
4031414524297538817,0.006924289866043446,2726.79561774,,-17.582599900000332,0.36885245901639346,90,244,
4031451549482615297,0.007029791246516934,3124.54121527,,-3.9002427300001727,0.38596491228070173,44,114,
4031493134338259457,0.0003512632969365953,9082.69828786,,-3682.1097991999995,0.36156696664902066,683,1889,
4031673021422897664,0.004844968086524528,1984.71719999,,-64.52999999999997,0.314410480349345,72,229,
4032403303704824321,0.014091598039456074,2060.5705195200003,,-1104.51520996,0.5515695067264574,123,223,
4033614723417828608,0.001168297139112869,4602.23981649,,-647.29447774,0.22286821705426357,115,516,
4033639786957934336,0.002312671498250975,2848.14185731,,0.0,0.16778523489932887,25,149,
4034359562055356161,-0.0009212542020719673,5284.65441593,,-1659.35395015,0.48936170212765956,391,799,
4034786679304751616,0.02461558131065969,2521.07586938,,0.0,0.38317757009345793,123,321,
4035034554469394176,0.00963577515408889,2517.32079973,,-632.4248999399999,0.1670886075949367,66,395,
4035430878731345664,0.021006787821720867,2493.75041995,,0.0,0.48314606741573035,43,89,
4036548677626662656,0.005863652324032862,3296.87667987,,0.0,0.46258503401360546,68,147,
4037073643537925121,0.013818458103535483,1540.40049962,,0.0,0.1860986547085202,83,446,
4037121179310444801,0.0010858891556263103,7237.92173826,,-1198.33178,0.48401253918495296,772,1595,
4037179073830813185,0.004109104168876472,2331.43490998,,0.0,0.4246575342465753,31,73,
4037282461943784704,0.0025528413511846436,4760.3656195,,-1680.7088622099996,0.2698412698412698,136,504,
4037511388357114368,0.009835053313748591,3552.34051692,,-635.4510124099997,0.4333683105981112,413,953,
4037717032428033792,0.020626413323918593,1897.3229995,,0.0,0.3217665615141956,102,317,
4037785885739608577,0.013840993886141148,1934.57923526,,0.0,0.23228346456692914,59,254,
